FC東京.xlsx,市場価値.xlsx,通算対戦成績.xlsx,,objective variable,,,,,explanatory variable,,,,,,,,,,,,,
Basic information,,,,point result,,score result,,,compatibility,,,others,ME,,,,,opponent,,,,
Year,Section,name of me,name of opponent,gain points,lose points,"score(win=3,draw=1,lose=0)","lose=0, not lose=1","not win=0, win=1",mean score(compatibility),mean gain points(compatibility),mean lose points(compatibility),Home/Away,score of last year(me),mean score points in last five games(me),total market value(me),mean age(me),number of foreign people(me),score of last year(opponent),total market value(opponent),mean age(opponent),number of foreign people(opponent),
2018,27,川崎Ｆ,名古屋,3,1,3,1,1,1.925,1.9,1.2,H,72,2,1.224513848,25.5,7,25,0.81496759,23.7,6,
2018,30,川崎Ｆ,神戸,5,3,3,1,1,1.714285714,2.1,1.3,H,72,2.2,1.224513848,25.5,7,44,2.291101945,25.9,8,
2018,31,川崎Ｆ,柏,3,0,3,1,1,1.457142857,1.7,1.7,H,72,2.2,1.224513848,25.5,7,62,0.904537419,24.2,7,
2018,34,川崎Ｆ,磐田,2,1,3,1,1,1.71875,1.8,1.6,H,72,2,1.224513848,25.5,7,58,0.868002357,26,6,
2019,1,川崎Ｆ,FC東京,0,0,1,1,0,1.714285714,1.9,1.3,H,69,2.4,1.169689,24.9,5,50,0.806397358,23.2,8,
2019,2,川崎Ｆ,鹿島,1,1,1,1,0,1.551020408,1.6,1.5,H,69,2,1.169689,24.9,5,56,1.061251949,24.4,6,
2019,4,川崎Ｆ,Ｇ大阪,0,1,0,0,0,1.422222222,1.8,1.8,H,69,1.8,1.169689,24.9,5,48,1.493348827,24.3,7,
2019,6,川崎Ｆ,Ｃ大阪,1,1,1,1,0,1.428571429,2,1.8,H,69,1.2,1.169689,24.9,5,50,1.179596954,24.8,9,
2019,8,川崎Ｆ,湘南,2,0,3,1,1,1.878787879,2,1,H,69,1.6,1.169689,24.9,5,41,0.566955139,23.2,5,
2019,10,川崎Ｆ,仙台,3,1,3,1,1,2.022727273,2.1,1.2,H,69,2.6,1.169689,24.9,5,45,0.673190422,25.9,6,
2019,12,川崎Ｆ,名古屋,1,1,1,1,0,1.925,1.9,1.2,H,69,3,1.169689,24.9,5,41,1.065105043,23.9,6,
2019,14,川崎Ｆ,浦和,1,1,1,1,0,1.466666667,1.6,1.4,H,69,2.6,1.169689,24.9,5,51,1.463074524,24.9,5,
2019,15,川崎Ｆ,札幌,1,1,1,1,0,2.379310345,2.2,0.7,H,69,2.2,1.169689,24.9,5,55,0.542185254,23.8,6,
2019,18,川崎Ｆ,鳥栖,0,0,1,1,0,2,1.9,0.9,H,69,1.8,1.169689,24.9,5,41,1.279777377,25,10,
2019,20,川崎Ｆ,大分,3,1,3,1,1,1.5,1.2,1.1,H,69,1.8,1.169689,24.9,5,30,0.419987156,23.9,2,
2019,21,川崎Ｆ,松本,0,0,1,1,0,2.5,1.8,0.3,H,69,2,1.169689,24.9,5,30,0.753004495,26,7,
2019,24,川崎Ｆ,清水,2,2,1,1,0,1.567567568,1.8,1.4,H,69,1,1.169689,24.9,5,49,0.810800893,24.4,7,
2019,26,川崎Ｆ,磐田,2,0,3,1,1,1.71875,1.8,1.6,H,69,0.6,1.169689,24.9,5,41,0.959420201,26.6,8,
2019,27,川崎Ｆ,神戸,1,2,0,0,0,1.714285714,2.1,1.3,H,69,1,1.169689,24.9,5,45,2.002507569,25.6,9,
